brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,OBJECTID,State,State_Code,District,Center,Area_SQKM
310.0,1.2,1.1,2014-01-01,753,Aqua,MODIS,69,6.2,296.3,10.4,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
304.7,1.0,1.0,2014-01-02,524,Terra,MODIS,27,6.2,293.3,7.2,D,0,653.0,Karnali,6.0,JAJARKOT,"Dhime-1,Batule wa Archhani-8,Dharapani",30.1941
308.4,1.1,1.0,2014-01-02,524,Terra,MODIS,36,6.2,289.9,10.7,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
306.7,1.0,1.0,2014-01-03,740,Aqua,MODIS,58,6.2,293.4,8.1,D,0,2872.0,Bagmati,3.0,SINDHUPALCHOK,Attarpur,23.2731
302.0,1.0,1.0,2014-01-03,740,Aqua,MODIS,48,6.2,291.9,3.1,D,0,5478.0,Madhesh,2.0,SARLAHI,,6.3855
311.8,1.2,1.1,2014-01-03,741,Aqua,MODIS,61,6.2,289.2,15.2,D,0,392.0,Sudurpashchim,7.0,DARCHULA,Gokuleshwor,8.107
305.7,1.0,1.0,2014-01-03,741,Aqua,MODIS,40,6.2,294.0,7.8,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
305.9,1.2,1.1,2014-01-03,741,Aqua,MODIS,47,6.2,288.8,10.0,D,0,392.0,Sudurpashchim,7.0,DARCHULA,Gokuleshwor,8.107
309.7,1.0,1.0,2014-01-03,741,Aqua,MODIS,63,6.2,290.2,8.7,D,0,3356.0,Gandaki,4.0,GORKHA,Baguwa,18.9052
301.7,1.0,1.0,2014-01-04,511,Terra,MODIS,29,6.2,284.8,4.9,D,0,3356.0,Gandaki,4.0,GORKHA,Baguwa,18.9052
309.7,1.1,1.0,2014-01-04,511,Terra,MODIS,52,6.2,293.7,10.4,D,0,653.0,Karnali,6.0,JAJARKOT,"Dhime-1,Batule wa Archhani-8,Dharapani",30.1941
300.2,1.1,1.1,2014-01-05,728,Aqua,MODIS,16,6.2,289.0,2.9,D,0,2299.0,Bagmati,3.0,MAKAWANPUR,Kalikatar,17.1192
