latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.8446,87.5158,310.2,1.4,1.2,2015-01-13,0746,Aqua,MODIS,69,6.2,293.1,15.4,D,0
28.961,82.6423,313.8,1,1,2015-01-13,0747,Aqua,MODIS,44,6.2,291.1,12.8,D,0
28.7549,80.373,304.4,1.1,1.1,2015-01-13,0747,Aqua,MODIS,59,6.2,292.9,5.9,D,0
28.2671,84.8819,302.4,1,1,2015-01-15,0734,Aqua,MODIS,44,6.2,289,5.5,D,0
27.5409,84.2503,308.3,1.1,1,2015-01-15,0734,Aqua,MODIS,67,6.2,293.7,7.1,D,0
28.3558,84.4478,302,1,1,2015-01-16,0505,Terra,MODIS,39,6.2,283.3,6.8,D,0
27.5494,84.4414,305.9,3.1,1.7,2015-01-16,0817,Aqua,MODIS,62,6.2,292.6,28.3,D,0
27.5468,84.41,303.1,3.1,1.7,2015-01-16,0817,Aqua,MODIS,51,6.2,292.8,19.4,D,0
27.5491,84.4338,307.3,3.1,1.7,2015-01-16,0817,Aqua,MODIS,65,6.2,292.7,33.4,D,0
27.5428,84.5145,310.1,1.9,1.3,2015-01-18,0805,Aqua,MODIS,69,6.2,293.8,21.2,D,0
27.549,84.4558,314,1.9,1.3,2015-01-18,0805,Aqua,MODIS,74,6.2,292.5,29,D,0
29.9484,81.8465,316.7,1.4,1.2,2015-01-18,0806,Aqua,MODIS,37,6.2,296.5,23.1,D,0
28.0922,82.9582,305,2.8,1.6,2015-01-20,0441,Terra,MODIS,55,6.2,290.8,28.1,D,0
29.7238,81.2804,300.1,1,1,2015-01-20,0753,Aqua,MODIS,20,6.2,286.1,5.9,D,0
28.0919,82.9522,303.4,1.1,1,2015-01-20,0753,Aqua,MODIS,52,6.2,293.2,4.9,D,0
27.5671,84.472,304.4,1.2,1.1,2015-01-20,0753,Aqua,MODIS,59,6.2,290.5,6.9,D,0
26.9513,87.5259,301.6,2.1,1.4,2015-01-21,0524,Terra,MODIS,34,6.2,290.5,10.4,D,0
29.4246,81.6854,327.3,1,1,2015-01-21,0524,Terra,MODIS,74,6.2,289.9,24,D,0
28.6666,83.5874,302.9,1.2,1.1,2015-01-21,0524,Terra,MODIS,23,6.2,286.6,7.8,D,0
29.4157,81.684,323.5,1,1,2015-01-21,0524,Terra,MODIS,80,6.2,290.6,21.8,D,0
28.6612,83.5927,300.3,1.2,1.1,2015-01-21,0524,Terra,MODIS,23,6.2,284.3,7.2,D,0
29.7269,81.2706,302,1,1,2015-01-21,0524,Terra,MODIS,44,6.2,285.3,7.5,D,0
26.9501,87.5346,306.3,2.5,1.5,2015-01-21,0657,Aqua,MODIS,53,6.2,293.7,19.7,D,0
26.9385,87.5359,310.8,1.2,1.1,2015-01-22,0740,Aqua,MODIS,55,6.2,291.9,8.9,D,0
26.9372,87.5248,311.9,1.2,1.1,2015-01-22,0740,Aqua,MODIS,63,6.2,293.5,10.4,D,0
27.387,87.9558,302.2,1.3,1.1,2015-01-22,0740,Aqua,MODIS,33,6.2,289.5,7.5,D,0
26.6645,87.0022,322.8,1,1,2015-01-24,0728,Aqua,MODIS,82,6.2,275.1,19.4,D,0
27.0167,85.6377,301.4,1.1,1,2015-01-24,0728,Aqua,MODIS,47,6.2,278.1,4.7,D,0
