brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,OBJECTID,State,State_Code,District,Center,Area_SQKM
306.6,1.1,1.1,2017-01-02,746,Aqua,MODIS,23,6.2,295.2,4.5,D,0,,,,,,
316.9,1.1,1.1,2017-01-02,746,Aqua,MODIS,77,6.2,295.0,15.7,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
311.3,1.0,1.0,2017-01-02,746,Aqua,MODIS,69,6.2,296.4,5.9,D,0,,,,,,
308.7,1.0,1.0,2017-01-02,746,Aqua,MODIS,59,6.2,296.6,4.0,D,0,3543.0,Lumbini,5.0,NAWALPARASI_W,Ramgram,10.4378
327.0,1.1,1.1,2017-01-02,746,Aqua,MODIS,85,6.2,295.2,28.0,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
310.3,1.1,1.0,2017-01-02,746,Aqua,MODIS,67,6.2,294.5,7.1,D,0,,,,,,
305.4,1.1,1.0,2017-01-02,746,Aqua,MODIS,60,6.2,294.1,4.8,D,0,,,,,,
353.2,1.6,1.2,2017-01-02,1712,Terra,MODIS,100,6.2,285.7,145.8,N,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
324.9,1.6,1.3,2017-01-02,1712,Terra,MODIS,100,6.2,284.7,51.8,N,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
303.6,1.1,1.1,2017-01-03,517,Terra,MODIS,52,6.2,293.0,5.4,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
311.1,2.7,1.6,2017-01-03,829,Aqua,MODIS,71,6.2,293.9,34.9,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
308.7,2.7,1.6,2017-01-03,829,Aqua,MODIS,62,6.2,294.6,27.4,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
311.8,2.7,1.6,2017-01-03,829,Aqua,MODIS,72,6.2,294.0,36.8,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
307.1,2.3,1.5,2017-01-05,817,Aqua,MODIS,39,6.2,288.3,25.8,D,0,730.0,Karnali,6.0,JUMLA,Kalikakhetu,38.3318
304.7,2.3,1.5,2017-01-05,817,Aqua,MODIS,45,6.2,287.0,22.4,D,0,730.0,Karnali,6.0,JUMLA,Kalikakhetu,38.3318
305.5,1.3,1.1,2017-01-07,453,Terra,MODIS,40,6.2,291.1,11.6,D,0,3356.0,Gandaki,4.0,GORKHA,Baguwa,18.9052
307.5,1.2,1.1,2017-01-09,752,Aqua,MODIS,64,6.2,296.0,4.7,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
320.3,1.2,1.1,2017-01-09,752,Aqua,MODIS,75,6.2,291.7,25.4,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
305.1,1.0,1.0,2017-01-09,752,Aqua,MODIS,56,6.2,294.9,4.3,D,0,,,,,,
304.5,1.0,1.0,2017-01-10,523,Terra,MODIS,41,6.2,293.6,8.1,D,0,,,,,,
309.4,1.3,1.1,2017-01-10,523,Terra,MODIS,54,6.2,286.7,15.0,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
311.2,1.3,1.1,2017-01-10,523,Terra,MODIS,61,6.2,287.8,16.6,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
321.1,1.3,1.1,2017-01-10,523,Terra,MODIS,81,6.2,288.3,28.6,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
305.3,1.0,1.0,2017-01-10,524,Terra,MODIS,61,6.2,289.9,7.6,D,0,5276.0,Sudurpashchim,7.0,KAILALI,Durgauli Gabisa Bhawan,14.0281
302.6,3.4,1.7,2017-01-10,835,Aqua,MODIS,53,6.2,290.3,25.6,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
302.6,3.4,1.7,2017-01-10,835,Aqua,MODIS,53,6.2,291.7,26.0,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
301.8,3.4,1.7,2017-01-10,835,Aqua,MODIS,49,6.2,291.3,24.2,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
304.8,3.4,1.7,2017-01-10,835,Aqua,MODIS,60,6.2,290.7,35.3,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
303.8,1.0,1.0,2017-01-11,740,Aqua,MODIS,52,6.2,285.3,9.9,D,0,4985.0,Gandaki,4.0,BAGLUNG,Baglung Bazar,8.7656
300.5,1.1,1.0,2017-01-12,512,Terra,MODIS,38,6.2,290.5,3.9,D,0,5478.0,Madhesh,2.0,SARLAHI,,6.3855
305.1,1.1,1.0,2017-01-13,727,Aqua,MODIS,61,6.2,293.6,4.4,D,0,6415.0,Madhesh,2.0,DHANUSHA,,5.722
300.8,1.2,1.1,2017-01-13,727,Aqua,MODIS,25,6.2,288.9,6.3,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
314.1,1.0,1.0,2017-01-13,727,Aqua,MODIS,74,6.2,295.5,11.1,D,0,4670.0,Koshi,1.0,SUNSARI,Jhumka,7.7742
302.5,2.1,1.4,2017-01-13,728,Aqua,MODIS,52,6.2,289.1,14.5,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
306.5,2.1,1.4,2017-01-13,728,Aqua,MODIS,64,6.2,289.0,21.7,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
309.7,1.6,1.3,2017-01-13,728,Aqua,MODIS,63,6.2,281.8,24.4,D,0,241.0,Sudurpashchim,7.0,BAJURA,Falasain,8.3238
311.5,1.6,1.3,2017-01-13,728,Aqua,MODIS,71,6.2,283.1,27.7,D,0,241.0,Sudurpashchim,7.0,BAJURA,Falasain,8.3238
309.1,1.3,1.1,2017-01-13,728,Aqua,MODIS,68,6.2,279.6,17.8,D,0,1099.0,Gandaki,4.0,MYAGDI,Babiyachaur,27.9628
