brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,OBJECTID,State,State_Code,District,Center,Area_SQKM
304.5,1.1,1.0,2016-01-01,517,Terra,MODIS,45,6.2,271.4,10.2,D,0,,,,,,
301.1,1.1,1.0,2016-01-01,517,Terra,MODIS,42,6.2,271.2,7.8,D,0,,,,,,
321.3,1.0,1.0,2016-01-01,517,Terra,MODIS,70,6.2,269.6,23.0,D,0,5096.0,Karnali,6.0,HUMLA,Shreenagar,53.6464
305.2,1.0,1.0,2016-01-01,517,Terra,MODIS,53,6.2,282.3,8.6,D,0,5096.0,Karnali,6.0,HUMLA,Shreenagar,53.6464
301.4,1.0,1.0,2016-01-01,518,Terra,MODIS,16,6.2,285.1,5.3,D,0,146.0,Sudurpashchim,7.0,BAJHANG,Byansi VDC Office,9.6673
303.5,1.1,1.0,2016-01-01,518,Terra,MODIS,29,6.2,291.8,4.0,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
311.5,1.1,1.0,2016-01-01,518,Terra,MODIS,71,6.2,289.2,13.7,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
366.8,1.1,1.0,2016-01-01,518,Terra,MODIS,100,6.2,292.1,121.2,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
304.0,1.1,1.0,2016-01-01,518,Terra,MODIS,49,6.2,285.2,9.0,D,0,392.0,Sudurpashchim,7.0,DARCHULA,Gokuleshwor,8.107
305.2,1.0,1.0,2016-01-01,518,Terra,MODIS,0,6.2,266.8,11.3,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
302.0,1.0,1.0,2016-01-01,518,Terra,MODIS,38,6.2,275.9,6.4,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
309.3,1.1,1.0,2016-01-01,518,Terra,MODIS,68,6.2,292.4,8.6,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
302.8,1.1,1.1,2016-01-01,2035,Aqua,MODIS,51,6.2,273.7,12.7,N,0,5096.0,Karnali,6.0,HUMLA,Shreenagar,53.6464
319.0,1.0,1.0,2016-01-02,733,Aqua,MODIS,74,6.2,300.5,10.4,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
320.1,1.0,1.0,2016-01-02,733,Aqua,MODIS,67,6.2,301.7,11.9,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
316.0,1.0,1.0,2016-01-02,733,Aqua,MODIS,64,6.2,299.8,8.8,D,0,4670.0,Koshi,1.0,SUNSARI,Jhumka,7.7742
336.6,1.0,1.0,2016-01-02,733,Aqua,MODIS,89,6.2,302.2,32.6,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
314.2,1.0,1.0,2016-01-02,733,Aqua,MODIS,59,6.2,299.9,7.4,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
301.0,1.1,1.0,2016-01-02,734,Aqua,MODIS,30,6.2,281.4,6.7,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
337.4,1.2,1.1,2016-01-02,734,Aqua,MODIS,90,6.2,283.7,51.0,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
303.7,1.1,1.0,2016-01-02,734,Aqua,MODIS,46,6.2,291.5,6.7,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
324.4,1.3,1.1,2016-01-02,734,Aqua,MODIS,83,6.2,292.6,36.2,D,0,790.0,Karnali,6.0,KALIKOT,Manma,37.2507
332.6,1.3,1.2,2016-01-02,734,Aqua,MODIS,88,6.2,295.4,51.1,D,0,790.0,Karnali,6.0,KALIKOT,Manma,37.2507
310.0,1.2,1.1,2016-01-02,734,Aqua,MODIS,66,6.2,289.7,14.0,D,0,1432.0,Lumbini,5.0,RUKUM_E,Sisaghari,38.6817
306.1,1.2,1.1,2016-01-02,734,Aqua,MODIS,43,6.2,289.2,10.6,D,0,1432.0,Lumbini,5.0,RUKUM_E,Sisaghari,38.6817
