brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,OBJECTID,State,State_Code,District,Center,Area_SQKM
319.5,1.0,1.0,2013-01-01,511,Terra,MODIS,70,6.2,295.5,18.0,D,0,3078.0,Bagmati,3.0,DHADING,Sadbhanjhyang,8.1082
308.4,1.0,1.0,2013-01-01,511,Terra,MODIS,67,6.2,288.2,10.5,D,0,1341.0,Lumbini,5.0,PYUTHAN,Puja,28.4556
308.6,1.1,1.0,2013-01-01,511,Terra,MODIS,33,6.2,287.3,9.1,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
304.5,1.0,1.0,2013-01-01,511,Terra,MODIS,32,6.2,291.5,8.1,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
302.7,2.8,1.6,2013-01-01,824,Aqua,MODIS,41,6.2,290.8,24.7,D,0,790.0,Karnali,6.0,KALIKOT,Manma,37.2507
329.1,1.2,1.1,2013-01-02,728,Aqua,MODIS,86,6.2,285.9,40.1,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
315.5,1.2,1.1,2013-01-02,728,Aqua,MODIS,76,6.2,288.5,20.1,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
313.6,1.2,1.1,2013-01-02,728,Aqua,MODIS,74,6.2,290.8,18.7,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
310.9,1.1,1.0,2013-01-02,728,Aqua,MODIS,56,6.2,293.6,11.0,D,0,3078.0,Bagmati,3.0,DHADING,Sadbhanjhyang,8.1082
325.6,1.2,1.1,2013-01-02,728,Aqua,MODIS,84,6.2,284.8,34.1,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
324.5,1.2,1.1,2013-01-02,728,Aqua,MODIS,83,6.2,286.7,29.0,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
316.7,1.2,1.1,2013-01-02,728,Aqua,MODIS,72,6.2,287.2,20.0,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
325.5,1.1,1.0,2013-01-02,728,Aqua,MODIS,84,6.2,290.4,25.4,D,0,2872.0,Bagmati,3.0,SINDHUPALCHOK,Attarpur,23.2731
320.0,1.5,1.2,2013-01-02,728,Aqua,MODIS,80,6.2,286.4,35.8,D,0,730.0,Karnali,6.0,JUMLA,Kalikakhetu,38.3318
318.3,1.0,1.0,2013-01-02,728,Aqua,MODIS,74,6.2,301.2,11.6,D,0,4670.0,Koshi,1.0,SUNSARI,Jhumka,7.7742
313.0,1.0,1.0,2013-01-02,728,Aqua,MODIS,43,6.2,301.4,6.9,D,0,4670.0,Koshi,1.0,SUNSARI,Jhumka,7.7742
393.2,1.2,1.1,2013-01-02,728,Aqua,MODIS,100,6.2,291.8,286.9,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
330.7,1.5,1.2,2013-01-02,728,Aqua,MODIS,87,6.2,283.1,58.0,D,0,730.0,Karnali,6.0,JUMLA,Kalikakhetu,38.3318
301.7,1.5,1.2,2013-01-02,728,Aqua,MODIS,46,6.2,285.1,12.4,D,0,730.0,Karnali,6.0,JUMLA,Kalikakhetu,38.3318
308.2,1.5,1.2,2013-01-02,728,Aqua,MODIS,56,6.2,290.1,13.0,D,0,5439.0,Karnali,6.0,DOLPA,,786.2029
310.9,1.5,1.2,2013-01-02,728,Aqua,MODIS,71,6.2,280.4,22.6,D,0,730.0,Karnali,6.0,JUMLA,Kalikakhetu,38.3318
301.0,1.2,1.1,2013-01-02,1653,Terra,MODIS,36,6.2,269.7,13.0,N,0,730.0,Karnali,6.0,JUMLA,Kalikakhetu,38.3318
312.3,1.2,1.1,2013-01-02,1653,Terra,MODIS,66,6.2,268.8,20.5,N,0,730.0,Karnali,6.0,JUMLA,Kalikakhetu,38.3318
303.9,1.1,1.1,2013-01-03,459,Terra,MODIS,39,6.2,283.0,9.3,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
301.2,1.9,1.3,2013-01-03,459,Terra,MODIS,21,6.2,287.5,10.9,D,0,146.0,Sudurpashchim,7.0,BAJHANG,Byansi VDC Office,9.6673
300.1,1.2,1.1,2013-01-03,459,Terra,MODIS,9,6.2,282.3,7.9,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
311.9,1.1,1.0,2013-01-03,459,Terra,MODIS,68,6.2,284.7,13.6,D,0,1405.0,Bagmati,3.0,RASUWA,Goljung Besi or Thambuchet,101.3606
316.7,1.1,1.0,2013-01-03,459,Terra,MODIS,77,6.2,280.6,17.7,D,0,1405.0,Bagmati,3.0,RASUWA,Goljung Besi or Thambuchet,101.3606
304.2,1.2,1.1,2013-01-03,459,Terra,MODIS,29,6.2,284.0,9.3,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
300.6,1.2,1.1,2013-01-03,459,Terra,MODIS,21,6.2,283.8,7.0,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
301.7,1.2,1.1,2013-01-03,459,Terra,MODIS,15,6.2,282.7,8.1,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
303.0,1.2,1.1,2013-01-03,459,Terra,MODIS,50,6.2,286.6,10.3,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
304.1,1.6,1.3,2013-01-03,459,Terra,MODIS,46,6.2,281.3,14.8,D,0,790.0,Karnali,6.0,KALIKOT,Manma,37.2507
