brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,OBJECTID,State,State_Code,District,Center,Area_SQKM
310.2,1.4,1.2,2015-01-13,746,Aqua,MODIS,69,6.2,293.1,15.4,D,0,5759.0,Koshi,1.0,MORANG,Hattimuda,11.9846
313.8,1.0,1.0,2015-01-13,747,Aqua,MODIS,44,6.2,291.1,12.8,D,0,1464.0,Karnali,6.0,RUKUM_W,Simali,7.0751
304.4,1.1,1.1,2015-01-13,747,Aqua,MODIS,59,6.2,292.9,5.9,D,0,6191.0,Sudurpashchim,7.0,KANCHANPUR,SHANKARPUR 2,53.6371
302.4,1.0,1.0,2015-01-15,734,Aqua,MODIS,44,6.2,289.0,5.5,D,0,3356.0,Gandaki,4.0,GORKHA,Baguwa,18.9052
308.3,1.1,1.0,2015-01-15,734,Aqua,MODIS,67,6.2,293.7,7.1,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
302.0,1.0,1.0,2015-01-16,505,Terra,MODIS,39,6.2,283.3,6.8,D,0,951.0,Gandaki,4.0,LAMJUNG,Gaunda,20.548
305.9,3.1,1.7,2015-01-16,817,Aqua,MODIS,62,6.2,292.6,28.3,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
303.1,3.1,1.7,2015-01-16,817,Aqua,MODIS,51,6.2,292.8,19.4,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
307.3,3.1,1.7,2015-01-16,817,Aqua,MODIS,65,6.2,292.7,33.4,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
310.1,1.9,1.3,2015-01-18,805,Aqua,MODIS,69,6.2,293.8,21.2,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
314.0,1.9,1.3,2015-01-18,805,Aqua,MODIS,74,6.2,292.5,29.0,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
316.7,1.4,1.2,2015-01-18,806,Aqua,MODIS,37,6.2,296.5,23.1,D,0,5096.0,Karnali,6.0,HUMLA,Shreenagar,53.6464
305.0,2.8,1.6,2015-01-20,441,Terra,MODIS,55,6.2,290.8,28.1,D,0,1341.0,Lumbini,5.0,PYUTHAN,Puja,28.4556
300.1,1.0,1.0,2015-01-20,753,Aqua,MODIS,20,6.2,286.1,5.9,D,0,146.0,Sudurpashchim,7.0,BAJHANG,Byansi VDC Office,9.6673
303.4,1.1,1.0,2015-01-20,753,Aqua,MODIS,52,6.2,293.2,4.9,D,0,1341.0,Lumbini,5.0,PYUTHAN,Puja,28.4556
304.4,1.2,1.1,2015-01-20,753,Aqua,MODIS,59,6.2,290.5,6.9,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
301.6,2.1,1.4,2015-01-21,524,Terra,MODIS,34,6.2,290.5,10.4,D,0,453.0,Koshi,1.0,DHANKUTA,Bhedetar,19.8237
327.3,1.0,1.0,2015-01-21,524,Terra,MODIS,74,6.2,289.9,24.0,D,0,241.0,Sudurpashchim,7.0,BAJURA,Falasain,8.3238
302.9,1.2,1.1,2015-01-21,524,Terra,MODIS,23,6.2,286.6,7.8,D,0,5071.0,Gandaki,4.0,MUSTANG,Jomsom,114.3028
323.5,1.0,1.0,2015-01-21,524,Terra,MODIS,80,6.2,290.6,21.8,D,0,241.0,Sudurpashchim,7.0,BAJURA,Falasain,8.3238
300.3,1.2,1.1,2015-01-21,524,Terra,MODIS,23,6.2,284.3,7.2,D,0,5071.0,Gandaki,4.0,MUSTANG,Jomsom,114.3028
302.0,1.0,1.0,2015-01-21,524,Terra,MODIS,44,6.2,285.3,7.5,D,0,146.0,Sudurpashchim,7.0,BAJHANG,Byansi VDC Office,9.6673
306.3,2.5,1.5,2015-01-21,657,Aqua,MODIS,53,6.2,293.7,19.7,D,0,1220.0,Koshi,1.0,PANCHTHAR,GOPETAR,13.9433
310.8,1.2,1.1,2015-01-22,740,Aqua,MODIS,55,6.2,291.9,8.9,D,0,1220.0,Koshi,1.0,PANCHTHAR,GOPETAR,13.9433
311.9,1.2,1.1,2015-01-22,740,Aqua,MODIS,63,6.2,293.5,10.4,D,0,1220.0,Koshi,1.0,PANCHTHAR,GOPETAR,13.9433
302.2,1.3,1.1,2015-01-22,740,Aqua,MODIS,33,6.2,289.5,7.5,D,0,1758.0,Koshi,1.0,TAPLEJUNG,Tellok,16.5487
322.8,1.0,1.0,2015-01-24,728,Aqua,MODIS,82,6.2,275.1,19.4,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
301.4,1.1,1.0,2015-01-24,728,Aqua,MODIS,47,6.2,278.1,4.7,D,0,5478.0,Madhesh,2.0,SARLAHI,,6.3855
355.3,1.0,1.0,2015-01-24,728,Aqua,MODIS,98,6.2,279.0,72.6,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
314.5,1.0,1.0,2015-01-24,728,Aqua,MODIS,71,6.2,271.7,11.8,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
342.2,1.0,1.0,2015-01-24,728,Aqua,MODIS,81,6.2,275.2,45.5,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
305.5,1.1,1.1,2015-01-24,729,Aqua,MODIS,46,6.2,291.6,9.0,D,0,3356.0,Gandaki,4.0,GORKHA,Baguwa,18.9052
310.4,3.1,1.7,2015-01-25,811,Aqua,MODIS,70,6.2,279.7,63.0,D,0,2872.0,Bagmati,3.0,SINDHUPALCHOK,Attarpur,23.2731
312.9,3.1,1.7,2015-01-25,811,Aqua,MODIS,73,6.2,279.8,71.5,D,0,2872.0,Bagmati,3.0,SINDHUPALCHOK,Attarpur,23.2731
300.3,1.1,1.1,2015-01-27,447,Terra,MODIS,22,6.2,287.8,5.1,D,0,1758.0,Koshi,1.0,TAPLEJUNG,Tellok,16.5487
308.6,1.0,1.0,2015-01-27,759,Aqua,MODIS,26,6.2,293.0,4.9,D,0,,,,,,
314.3,1.0,1.0,2015-01-27,759,Aqua,MODIS,74,6.2,294.1,9.7,D,0,,,,,,
306.9,1.3,1.1,2015-01-28,530,Terra,MODIS,63,6.2,295.6,7.3,D,0,2023.0,Lumbini,5.0,KAPILBASTU,Krishnanagar Nagarpalika Office,9.5394
307.5,1.3,1.1,2015-01-28,530,Terra,MODIS,65,6.2,295.5,7.4,D,0,2023.0,Lumbini,5.0,KAPILBASTU,Krishnanagar Nagarpalika Office,9.5394
308.5,1.9,1.3,2015-01-28,704,Aqua,MODIS,67,6.2,295.0,13.2,D,0,6284.0,Koshi,1.0,JHAPA,Budhabare,10.6774
315.6,1.1,1.0,2015-01-29,747,Aqua,MODIS,74,6.2,288.5,15.2,D,0,3356.0,Gandaki,4.0,GORKHA,Baguwa,18.9052
304.5,1.0,1.0,2015-01-29,747,Aqua,MODIS,44,6.2,293.4,4.0,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
301.8,1.0,1.0,2015-01-29,747,Aqua,MODIS,19,6.2,287.5,6.5,D,0,3845.0,Gandaki,4.0,KASKI,Pokhara,47.796
302.1,1.0,1.0,2015-01-29,747,Aqua,MODIS,24,6.2,291.7,6.5,D,0,1464.0,Karnali,6.0,RUKUM_W,Simali,7.0751
303.6,1.1,1.0,2015-01-30,517,Terra,MODIS,39,6.2,282.2,7.5,D,0,,,,,,
321.1,1.1,1.0,2015-01-31,734,Aqua,MODIS,70,6.2,283.1,22.2,D,0,1758.0,Koshi,1.0,TAPLEJUNG,Tellok,16.5487
300.3,1.1,1.0,2015-01-31,735,Aqua,MODIS,35,6.2,289.1,5.3,D,0,5678.0,Lumbini,5.0,PALPA,Mityal Ruksebhangjyang,23.7734
301.6,3.1,1.7,2015-02-01,817,Aqua,MODIS,40,6.2,290.7,18.4,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
307.8,2.8,1.6,2015-02-01,818,Aqua,MODIS,36,6.2,286.9,37.3,D,0,1099.0,Gandaki,4.0,MYAGDI,Babiyachaur,27.9628
309.9,1.1,1.0,2015-02-02,722,Aqua,MODIS,62,6.2,295.0,7.3,D,0,5759.0,Koshi,1.0,MORANG,Hattimuda,11.9846
321.0,1.0,1.0,2015-02-02,722,Aqua,MODIS,75,6.2,304.9,11.9,D,0,6284.0,Koshi,1.0,JHAPA,Budhabare,10.6774
315.8,1.0,1.0,2015-02-02,722,Aqua,MODIS,68,6.2,303.2,7.0,D,0,6284.0,Koshi,1.0,JHAPA,Budhabare,10.6774
314.6,1.1,1.1,2015-02-02,722,Aqua,MODIS,68,6.2,303.1,6.7,D,0,4341.0,Madhesh,2.0,SAPTARI,,3.5683
300.5,1.0,1.0,2015-02-03,453,Terra,MODIS,23,6.2,290.0,6.4,D,0,1704.0,Koshi,1.0,SOLUKHUMBU,Chaulakhark,45.3091
302.5,1.0,1.0,2015-02-03,453,Terra,MODIS,21,6.2,291.9,4.5,D,0,1758.0,Koshi,1.0,TAPLEJUNG,Tellok,16.5487
304.6,1.0,1.0,2015-02-03,453,Terra,MODIS,36,6.2,292.2,5.4,D,0,1758.0,Koshi,1.0,TAPLEJUNG,Tellok,16.5487
323.0,1.9,1.4,2015-02-03,805,Aqua,MODIS,81,6.2,297.5,45.7,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
304.2,2.9,1.6,2015-02-03,805,Aqua,MODIS,53,6.2,282.4,30.7,D,0,1620.0,Koshi,1.0,SANKHUWASABHA,Chainpur,12.5205
328.6,2.9,1.6,2015-02-03,805,Aqua,MODIS,85,6.2,286.4,131.3,D,0,1620.0,Koshi,1.0,SANKHUWASABHA,Chainpur,12.5205
318.9,1.9,1.4,2015-02-03,805,Aqua,MODIS,78,6.2,298.4,34.8,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
327.5,2.9,1.6,2015-02-03,805,Aqua,MODIS,84,6.2,287.2,124.4,D,0,1620.0,Koshi,1.0,SANKHUWASABHA,Chainpur,12.5205
305.7,1.3,1.1,2015-02-06,524,Terra,MODIS,38,6.2,292.3,7.4,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
304.6,1.5,1.2,2015-02-06,524,Terra,MODIS,59,6.2,290.3,7.1,D,0,1952.0,Bagmati,3.0,LALITPUR,Bajrabarahi Mun Office,5.8465
305.1,4.1,1.9,2015-02-06,658,Aqua,MODIS,40,6.2,290.3,37.8,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
309.2,1.0,1.0,2015-02-07,741,Aqua,MODIS,68,6.2,279.3,9.4,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
327.1,1.2,1.1,2015-02-07,741,Aqua,MODIS,77,6.2,287.1,33.9,D,0,,,,,,
308.7,1.2,1.1,2015-02-07,741,Aqua,MODIS,51,6.2,284.7,14.1,D,0,,,,,,
313.0,1.1,1.0,2015-02-07,741,Aqua,MODIS,73,6.2,290.3,14.7,D,0,653.0,Karnali,6.0,JAJARKOT,"Dhime-1,Batule wa Archhani-8,Dharapani",30.1941
334.3,1.2,1.1,2015-02-07,741,Aqua,MODIS,85,6.2,288.4,46.4,D,0,,,,,,
311.7,1.2,1.1,2015-02-09,728,Aqua,MODIS,69,6.2,296.2,9.8,D,0,2200.0,Bagmati,3.0,CHITAWAN,Bharatpur,10.0162
307.8,1.2,1.1,2015-02-09,728,Aqua,MODIS,51,6.2,293.7,7.0,D,0,6636.0,Madhesh,2.0,BARA,Kalaiya Bazar,6.0659
