latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.5622,84.6259,310,1.2,1.1,2014-01-01,0753,Aqua,MODIS,69,6.2,296.3,10.4,D,0
28.8832,82.4479,304.7,1,1,2014-01-02,0524,Terra,MODIS,27,6.2,293.3,7.2,D,0
29.0533,82.8263,308.4,1.1,1,2014-01-02,0524,Terra,MODIS,36,6.2,289.9,10.7,D,0
27.9698,85.813,306.7,1,1,2014-01-03,0740,Aqua,MODIS,58,6.2,293.4,8.1,D,0
26.9602,85.6906,302,1,1,2014-01-03,0740,Aqua,MODIS,48,6.2,291.9,3.1,D,0
29.8235,80.6606,311.8,1.2,1.1,2014-01-03,0741,Aqua,MODIS,61,6.2,289.2,15.2,D,0
28.8955,82.9402,305.7,1,1,2014-01-03,0741,Aqua,MODIS,40,6.2,294,7.8,D,0
29.8255,80.6721,305.9,1.2,1.1,2014-01-03,0741,Aqua,MODIS,47,6.2,288.8,10,D,0
28.3668,84.9452,309.7,1,1,2014-01-03,0741,Aqua,MODIS,63,6.2,290.2,8.7,D,0
28.2358,84.6855,301.7,1,1,2014-01-04,0511,Terra,MODIS,29,6.2,284.8,4.9,D,0
28.8562,82.4259,309.7,1.1,1,2014-01-04,0511,Terra,MODIS,52,6.2,293.7,10.4,D,0
27.3344,85.1852,300.2,1.1,1.1,2014-01-05,0728,Aqua,MODIS,16,6.2,289,2.9,D,0
28.3404,84.558,319.5,1.1,1.1,2014-01-06,0459,Terra,MODIS,79,6.2,289.5,21.2,D,0
28.3391,84.5682,324.5,1.1,1.1,2014-01-06,0459,Terra,MODIS,83,6.2,288.2,27.7,D,0
27.5424,84.5529,309.6,2.5,1.5,2014-01-06,0811,Aqua,MODIS,69,6.2,293.7,29.2,D,0
27.5373,84.5733,301.4,2.5,1.5,2014-01-06,0811,Aqua,MODIS,33,6.2,290.9,11.8,D,0
27.5352,84.5484,305.1,2.5,1.5,2014-01-06,0811,Aqua,MODIS,59,6.2,292.6,19.4,D,0
29.8687,82.3017,319.9,1.9,1.3,2014-01-06,0812,Aqua,MODIS,57,6.2,271.7,49.2,D,0
29.8552,82.286,307.9,1.9,1.3,2014-01-06,0812,Aqua,MODIS,25,6.2,274.6,22.5,D,0
29.862,82.2922,356.8,1.9,1.3,2014-01-06,0812,Aqua,MODIS,93,6.2,280.4,195.6,D,0
29.8673,82.2876,334.5,1.9,1.3,2014-01-06,0812,Aqua,MODIS,89,6.2,277.8,91.6,D,0
28.4167,84.4248,304.2,1.8,1.3,2014-01-07,0716,Aqua,MODIS,58,6.2,284,18.3,D,0
28.3413,84.5628,309.4,1.8,1.3,2014-01-07,0716,Aqua,MODIS,69,6.2,284.6,25.1,D,0
29.6189,82.0637,303.1,2.5,1.5,2014-01-07,0716,Aqua,MODIS,32,6.2,283.4,25.2,D,0
28.337,84.5583,308.1,1.8,1.3,2014-01-07,0716,Aqua,MODIS,54,6.2,285.1,21.5,D,0
28.4222,84.437,307.6,1.8,1.3,2014-01-07,0716,Aqua,MODIS,66,6.2,284.8,22.4,D,0
29.6132,82.0545,307.4,2.5,1.5,2014-01-07,0716,Aqua,MODIS,47,6.2,287.5,34.5,D,0
28.4416,83.7567,304.2,2,1.4,2014-01-07,0716,Aqua,MODIS,40,6.2,286.5,20.3,D,0
27.46,86.9132,302.4,1.2,1.1,2014-01-08,0447,Terra,MODIS,36,6.2,292.4,10.5,D,0
28.6514,83.0897,307.3,2.2,1.4,2014-01-08,0447,Terra,MODIS,47,6.2,285.9,26.7,D,0
29.6283,81.7945,327.8,1.3,1.1,2014-01-09,1629,Terra,MODIS,100,6.2,280,45,N,0
29.6308,81.8092,306.2,1.3,1.1,2014-01-09,1629,Terra,MODIS,67,6.2,277.9,17.1,N,0
28.3492,84.8541,310.3,2.7,1.6,2014-01-10,0435,Terra,MODIS,65,6.2,284.8,43.2,D,0
28.3477,84.8715,315.3,2.7,1.6,2014-01-10,0435,Terra,MODIS,75,6.2,286.6,57.9,D,0
28.3445,84.8482,302.5,2.7,1.6,2014-01-10,0435,Terra,MODIS,27,6.2,287.2,22.9,D,0
28.343,84.8662,321.4,2.7,1.6,2014-01-10,0435,Terra,MODIS,81,6.2,285.8,81.7,D,0
26.6261,86.9674,319.8,1.3,1.1,2014-01-10,0746,Aqua,MODIS,78,6.2,298.9,19.8,D,0
26.6395,86.9925,310.9,1.3,1.1,2014-01-10,0746,Aqua,MODIS,28,6.2,297.7,7.8,D,0
26.6531,86.174,308.1,1.2,1.1,2014-01-10,0746,Aqua,MODIS,63,6.2,295.8,6.7,D,0
28.4903,83.2543,303.4,1,1,2014-01-10,0747,Aqua,MODIS,52,6.2,281,8,D,0
29.7533,81.7209,300.9,1,1,2014-01-10,0747,Aqua,MODIS,22,6.2,289,5.6,D,0
28.6516,82.7681,310.8,1,1,2014-01-10,0747,Aqua,MODIS,65,6.2,297.9,9.1,D,0
29.7519,81.7111,311,1,1,2014-01-10,0747,Aqua,MODIS,71,6.2,287.1,12.1,D,0
28.3416,84.9106,306.3,1.1,1,2014-01-10,0747,Aqua,MODIS,42,6.2,288.3,7.5,D,0
28.3358,84.9067,309.9,1.1,1,2014-01-10,0747,Aqua,MODIS,53,6.2,289.9,11.4,D,0
28.3861,84.498,378.6,1,1,2014-01-12,0734,Aqua,MODIS,100,6.2,291.5,157,D,0
26.6749,86.9836,316.8,1,1,2014-01-12,0734,Aqua,MODIS,74,6.2,298.6,9.7,D,0
28.3878,84.5094,358.2,1,1,2014-01-12,0734,Aqua,MODIS,99,6.2,286.2,87.3,D,0
28.3771,84.4998,307.6,1,1,2014-01-12,0734,Aqua,MODIS,56,6.2,285.4,10.5,D,0
27.0711,85.3224,307.3,1,1,2014-01-12,0734,Aqua,MODIS,62,6.2,296.4,5,D,0
26.6763,86.9937,318.3,1,1,2014-01-12,0734,Aqua,MODIS,76,6.2,301.1,11,D,0
28.4478,84.5272,332.2,1,1,2014-01-13,0505,Terra,MODIS,78,6.2,294.6,31.2,D,0
29.0326,82.547,309.5,1.2,1.1,2014-01-13,0505,Terra,MODIS,64,6.2,288.7,13.4,D,0
27.4452,87.3202,304.2,1.1,1,2014-01-13,0505,Terra,MODIS,58,6.2,288.7,7.8,D,0
29.0313,82.5574,303.2,1.2,1.1,2014-01-13,0505,Terra,MODIS,16,6.2,287.2,7.8,D,0
27.6283,82.8571,305.8,1.5,1.2,2014-01-15,0805,Aqua,MODIS,62,6.2,294.5,6.8,D,0
27.6571,82.823,304.6,1.5,1.2,2014-01-15,0805,Aqua,MODIS,56,6.2,293.8,6.1,D,0
27.6588,82.8377,311.7,1.5,1.2,2014-01-15,0805,Aqua,MODIS,67,6.2,294.4,14.7,D,0
28.041,84.0684,306.6,1.8,1.3,2014-01-15,0805,Aqua,MODIS,64,6.2,294.5,12,D,0
27.6396,86.5366,338.4,2.7,1.6,2014-01-15,0805,Aqua,MODIS,91,6.2,288.7,169,D,0
28.4961,83.1396,310.2,1.1,1,2014-01-17,0753,Aqua,MODIS,64,6.2,286,11.9,D,0
27.6003,87.2775,302.5,1.2,1.1,2014-01-19,0740,Aqua,MODIS,33,6.2,291,5.9,D,0
26.6646,87.0074,323.6,1.1,1.1,2014-01-19,0740,Aqua,MODIS,80,6.2,301.4,17.3,D,0
26.6568,86.9927,315.3,1.1,1.1,2014-01-19,0740,Aqua,MODIS,17,6.2,301.5,7.1,D,0
26.6597,87.015,327.5,1.1,1.1,2014-01-19,0740,Aqua,MODIS,61,6.2,299,20.2,D,0
26.6657,87.0519,324.6,1.3,1.1,2014-01-23,0715,Aqua,MODIS,62,6.2,291,30.6,D,0
28.7828,80.1363,304.5,3.5,1.8,2014-01-23,0716,Aqua,MODIS,0,6.2,292.4,27.6,D,0
28.7728,80.1468,310.2,3.5,1.8,2014-01-23,0716,Aqua,MODIS,0,6.2,292.3,50.7,D,0
28.6581,82.7262,301.7,1.2,1.1,2014-01-25,0529,Terra,MODIS,21,6.2,290.5,7.1,D,0
27.5567,84.4288,303.8,3.1,1.7,2014-01-25,0704,Aqua,MODIS,43,6.2,292.2,21.8,D,0
27.5628,84.452,302.8,3.1,1.7,2014-01-25,0704,Aqua,MODIS,48,6.2,292.6,17.7,D,0
27.5366,87.719,358,1.5,1.2,2014-01-26,0746,Aqua,MODIS,99,6.2,287.2,152.2,D,0
28.0557,85.7869,321.8,1.2,1.1,2014-01-26,0746,Aqua,MODIS,81,6.2,297.5,25.1,D,0
27.5556,84.3085,314.1,1,1,2014-01-26,0746,Aqua,MODIS,64,6.2,292.6,10.1,D,0
27.5436,84.5644,307.6,1.1,1,2014-01-26,0746,Aqua,MODIS,55,6.2,295.9,6.3,D,0
27.555,84.5084,306.5,1.1,1,2014-01-26,0746,Aqua,MODIS,55,6.2,292,4.9,D,0
28.6504,82.7715,321.1,1,1,2014-01-26,0747,Aqua,MODIS,80,6.2,305.1,15.7,D,0
29.7961,80.5339,304.3,1.1,1.1,2014-01-27,0517,Terra,MODIS,41,6.2,293.8,8,D,0
28.3222,84.8919,302.8,1.1,1.1,2014-01-27,0517,Terra,MODIS,36,6.2,290,7.4,D,0
28.3199,84.9059,302.4,1.1,1.1,2014-01-27,0517,Terra,MODIS,37,6.2,288.5,7,D,0
28.6601,82.7328,314.9,1,1,2014-01-27,0517,Terra,MODIS,60,6.2,294.8,12.6,D,0
28.36,84.8713,314.3,1.1,1.1,2014-01-27,0517,Terra,MODIS,56,6.2,296.5,15.1,D,0
28.1982,85.0352,306.1,1,1,2014-01-28,0734,Aqua,MODIS,42,6.2,290.8,6.4,D,0
28.2128,84.7044,307.5,1,1,2014-01-28,0734,Aqua,MODIS,60,6.2,295.5,7.6,D,0
28.3482,84.4424,308.6,1,1,2014-01-28,0734,Aqua,MODIS,34,6.2,295.1,7.9,D,0
27.5212,84.775,315.4,1,1,2014-01-28,0734,Aqua,MODIS,74,6.2,297.1,12,D,0
27.4902,87.3801,344.9,1,1,2014-01-28,0734,Aqua,MODIS,89,6.2,287.5,56.3,D,0
29.5276,82.2516,302.1,1.2,1.1,2014-01-28,0735,Aqua,MODIS,44,6.2,291.3,10.3,D,0
30.0009,80.7247,310.3,1.5,1.2,2014-01-28,0735,Aqua,MODIS,58,6.2,297.1,18.3,D,0
28.9668,81.8056,307.1,1.3,1.1,2014-01-28,0735,Aqua,MODIS,61,6.2,296.1,12,D,0
28.8227,82.4653,309,1.2,1.1,2014-01-28,0735,Aqua,MODIS,39,6.2,299,12,D,0
27.4479,87.309,313.8,1.1,1,2014-01-29,0505,Terra,MODIS,74,6.2,287.5,14,D,0
27.4462,87.32,312.4,1.1,1,2014-01-29,0505,Terra,MODIS,72,6.2,288.7,12.8,D,0
26.8102,87.7343,305.6,1.1,1,2014-01-30,0722,Aqua,MODIS,15,6.2,293.7,3.9,D,0
28.4713,84.93,307.3,1.3,1.1,2014-01-30,0722,Aqua,MODIS,44,6.2,287.3,11.6,D,0
28.3413,84.4316,308.6,1.4,1.2,2014-01-30,0722,Aqua,MODIS,49,6.2,294.9,14.3,D,0
27.548,87.6157,307.3,1,1,2014-01-31,0453,Terra,MODIS,57,6.2,287.5,9,D,0
27.9759,85.7934,318.3,1.2,1.1,2014-01-31,0453,Terra,MODIS,78,6.2,291.2,20,D,0
27.5047,86.9363,302.8,1.1,1,2014-01-31,0453,Terra,MODIS,47,6.2,292,8.2,D,0
27.5466,84.3997,305,1.9,1.3,2014-01-31,0805,Aqua,MODIS,60,6.2,291.3,12.8,D,0
28.734,82.9106,303.9,1.5,1.2,2014-01-31,0805,Aqua,MODIS,48,6.2,286.6,10.7,D,0
28.3316,84.0827,308.9,1.8,1.3,2014-01-31,0805,Aqua,MODIS,45,6.2,292.7,18.7,D,0
27.5485,84.4185,319.3,1.9,1.3,2014-01-31,0805,Aqua,MODIS,79,6.2,292.2,40.4,D,0
28.7448,82.7074,304.7,1.5,1.2,2014-02-01,0535,Terra,MODIS,53,6.2,285.3,15.9,D,0
28.7414,82.703,301,1.5,1.2,2014-02-01,0535,Terra,MODIS,33,6.2,286.5,11.6,D,0
29.3594,81.6807,326.7,3.6,1.8,2014-02-02,0440,Terra,MODIS,80,6.2,295.8,161.4,D,0
28.2105,84.8609,305.3,2.1,1.4,2014-02-02,0440,Terra,MODIS,28,6.2,293.5,13.2,D,0
29.3508,81.6729,319.1,3.6,1.8,2014-02-02,0440,Terra,MODIS,63,6.2,292.5,107.3,D,0
29.43,80.8858,306.7,1,1,2014-02-02,0753,Aqua,MODIS,64,6.2,288.7,6,D,0
28.4151,81.5858,301.7,1,1,2014-02-02,0753,Aqua,MODIS,38,6.2,284.4,4.7,D,0
28.4076,81.5976,304.1,1,1,2014-02-02,0753,Aqua,MODIS,54,6.2,285.9,6,D,0
29.1914,81.6751,302.8,1,1,2014-02-02,0753,Aqua,MODIS,26,6.2,291.4,5.8,D,0
28.4736,83.7037,301.5,1.2,1.1,2014-02-03,0523,Terra,MODIS,22,6.2,285.5,7.2,D,0
29.0128,82.6658,328.3,1.1,1,2014-02-03,0523,Terra,MODIS,73,6.2,297.1,25.1,D,0
29.0146,82.6549,321.8,1.1,1,2014-02-03,0523,Terra,MODIS,67,6.2,297.5,17.8,D,0
29.2861,82.4301,314.3,1.1,1,2014-02-04,0741,Aqua,MODIS,70,6.2,282.6,15.4,D,0
28.4967,83.617,306,1,1,2014-02-04,0741,Aqua,MODIS,58,6.2,288.9,7.3,D,0
29.668,82.1534,301.6,1.1,1,2014-02-04,0741,Aqua,MODIS,31,6.2,287.7,7.1,D,0
28.422,81.5526,306.8,1.2,1.1,2014-02-04,0741,Aqua,MODIS,63,6.2,296.8,7.1,D,0
27.4918,87.6122,300.7,1.3,1.1,2014-02-05,0511,Terra,MODIS,37,6.2,289.2,7,D,0
28.303,84.0891,304.4,3.8,1.8,2014-02-05,0823,Aqua,MODIS,38,6.2,287.5,38.6,D,0
28.7815,80.1564,307.5,2.1,1.4,2014-02-06,0554,Terra,MODIS,57,6.2,293.9,13.5,D,0
28.7938,80.1595,306.5,2.1,1.4,2014-02-06,0554,Terra,MODIS,49,6.2,295.1,12,D,0
28.8017,80.1304,308.7,2.1,1.4,2014-02-06,0729,Aqua,MODIS,67,6.2,296.2,14.6,D,0
27.8052,87.5403,300.4,1,1,2014-02-07,0459,Terra,MODIS,10,6.2,280.8,6.5,D,0
28.3833,84.519,317.8,1.7,1.3,2014-02-09,0447,Terra,MODIS,56,6.2,287.6,33.2,D,0
28.3865,84.512,310.3,1.7,1.3,2014-02-09,0447,Terra,MODIS,57,6.2,290.5,23,D,0
27.503,86.9348,303.2,1.2,1.1,2014-02-09,0447,Terra,MODIS,41,6.2,292.6,10.1,D,0
27.3352,87.9644,303.8,1.1,1,2014-02-09,0447,Terra,MODIS,43,6.2,286.8,6,D,0
27.3365,87.9545,304.9,1.1,1,2014-02-09,0447,Terra,MODIS,56,6.2,285.9,7.4,D,0
28.3841,84.5337,304.9,1.7,1.3,2014-02-09,0447,Terra,MODIS,41,6.2,284.5,15.7,D,0
27.546,84.2189,313.6,1.4,1.2,2014-02-09,0759,Aqua,MODIS,64,6.2,299.2,13.2,D,0
28.1194,85.0732,318.7,1.7,1.3,2014-02-09,0759,Aqua,MODIS,77,6.2,288.4,34.6,D,0
28.1993,84.9564,313.8,1.6,1.3,2014-02-09,0759,Aqua,MODIS,68,6.2,290.1,23.1,D,0
27.5475,84.0815,326,1.4,1.2,2014-02-09,0759,Aqua,MODIS,0,6.2,298.4,31.4,D,0
27.5538,84.1383,322.6,1.4,1.2,2014-02-09,0759,Aqua,MODIS,70,6.2,299,25.7,D,0
27.5554,84.1525,353.3,1.4,1.2,2014-02-09,0759,Aqua,MODIS,84,6.2,299.8,108.4,D,0
27.5483,84.1458,338.8,1.4,1.2,2014-02-09,0759,Aqua,MODIS,91,6.2,298.7,62.7,D,0
27.5401,84.0748,332,1.4,1.2,2014-02-09,0759,Aqua,MODIS,87,6.2,298.7,45.9,D,0
27.5459,84.0673,323.8,1.4,1.2,2014-02-09,0759,Aqua,MODIS,70,6.2,300.1,27.5,D,0
29.0251,82.2128,302.9,1.2,1.1,2014-02-09,0759,Aqua,MODIS,54,6.2,286.3,6.6,D,0
27.55,84.16,323.1,1.4,1.2,2014-02-09,0759,Aqua,MODIS,81,6.2,297.6,28.2,D,0
27.9941,85.8109,330.6,1.9,1.3,2014-02-09,0759,Aqua,MODIS,86,6.2,296.3,68.5,D,0
28.0005,85.8204,320.9,1.9,1.3,2014-02-09,0759,Aqua,MODIS,78,6.2,290.7,43.7,D,0
27.9987,85.8024,320.2,1.9,1.3,2014-02-09,0759,Aqua,MODIS,78,6.2,292.7,41.6,D,0
27.5637,84.4697,334.3,1.5,1.2,2014-02-09,0759,Aqua,MODIS,88,6.2,299.2,53.6,D,0
