YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,Fire_Count,LAT,LON
2012,3,humla,313.56666666666666,55.66666666666666,297.0,55.3,3,30.0,81.8
2012,3,ilam,309.05,56.0,295.18333333333334,45.7,6,26.9,88.0
2012,3,jajarkot,316.425,54.25,297.075,123.7,4,,
2012,3,jhapa,322.37142857142857,56.71428571428572,301.12857142857143,116.2,7,26.7,87.9
2012,3,kailali,319.2333333333333,60.333333333333336,305.2333333333333,40.7,3,28.7,80.8
2012,3,kalikot,315.45000000000005,65.0,301.05,58.1,2,,
2012,3,kanchanpur,327.97755102040816,72.28571428571429,302.3428571428572,2983.6,49,29.0,80.2
2012,3,kapilbastu,321.25,62.0,306.6,20.1,2,,
2012,3,khotang,317.1,66.33333333333333,299.43333333333334,36.9,3,,
2012,3,lalitpur,313.4,50.0,292.7,6.0,1,27.63,85.33
2012,3,lamjung,320.5,51.0,304.4,11.5,1,28.3,84.4
2012,3,mahottari,318.32666666666665,56.73333333333333,300.5,223.5,15,26.7,85.8
2012,3,makawanpur,314.83181818181816,56.95454545454545,298.5386363636364,515.8,44,,
2012,3,manang,302.8,19.0,285.9,6.9,1,28.6,84.2
2012,3,morang,319.8,56.333333333333336,304.7333333333333,41.0,3,26.5,87.3
2012,3,mugu,310.6,60.0,294.0,11.1,1,29.5,82.1
2012,3,mustang,309.35,28.5,289.05,22.6,2,28.7,83.67
2012,3,myagdi,315.1666666666667,68.33333333333333,293.05,152.8,6,28.4,83.6
2012,3,nawalparasi,322.62857142857143,57.42857142857143,301.6428571428572,211.1,7,27.6,84.0
2012,3,nuwakot,314.45000000000005,67.5,293.15,32.4,2,27.85,85.25
2012,3,palpa,317.9,68.0,299.0,11.7,1,27.9,83.5
2012,3,panchthar,317.18,67.6,297.37,217.8,10,,
2012,3,parsa,321.4988764044944,62.15730337078652,302.06516853932584,1774.7,89,,
2012,3,ramechhap,312.95,61.5,297.65,22.2,2,,
2012,3,rasuwa,319.4,35.0,300.0,11.5,1,28.1,85.3
2012,3,rautahat,325.71666666666664,63.72222222222222,304.0055555555556,450.4,18,,
2012,3,rolpa,322.26666666666665,65.66666666666667,299.3666666666666,66.0,3,,
2012,3,rukum,319.6625,61.5,300.3625,175.4,8,28.65,82.35
2012,3,sankhuwasabha,328.2,75.66666666666667,294.6,93.8,3,27.3,87.3
2012,3,saptari,317.62857142857143,49.71428571428572,303.90000000000003,53.5,7,26.6,86.8
2012,3,sarlahi,323.15384615384613,64.92307692307692,304.03076923076924,209.7,13,27.0,85.45
2012,3,sindhuli,315.9923076923077,49.30769230769231,299.3076923076923,171.6,13,27.2,85.9
2012,3,sindhupalchok,314.1875,62.125,295.65,138.5,8,,
2012,3,siraha,322.8333333333333,50.66666666666666,306.5333333333333,28.4,3,,
2012,3,solukhumbu,327.675,78.0,293.45,181.0,4,28.0,86.8
2012,3,sunsari,323.3071428571429,55.42857142857143,301.79285714285714,240.9,14,26.75,87.3
2012,3,surkhet,323.76666666666665,71.33333333333333,305.40000000000003,43.3,3,28.75,81.4
2012,3,tanahu,315.6666666666667,57.66666666666666,301.6666666666667,34.8,3,,
2012,3,taplejung,320.6857142857143,65.07142857142857,298.88571428571424,260.1,14,27.4,87.7
2012,3,terhathum,322.2923076923077,61.07692307692308,302.86923076923074,238.2,13,27.1,87.5
2012,3,udayapur,315.57241379310346,49.86206896551724,299.7655172413793,228.7,29,26.9,86.5
2012,4,achham,320.69,62.7,302.4,164.2,10,,
2012,4,arghakhanchi,317.0857142857143,61.74285714285714,302.0857142857143,384.8,35,27.9,83.2
2012,4,banke,323.1481012658228,63.12658227848101,305.5386075949367,2710.9,158,28.1,81.7
2012,4,bara,326.4666666666667,63.19047619047619,306.7,292.6,21,27.15,84.95
2012,4,bardiya,323.79269230769233,58.58076923076923,305.0580769230769,4725.6,260,28.45,81.3
2012,4,bhojpur,316.14000000000004,56.4,300.46666666666664,190.3,15,,
2012,4,chitawan,323.31756756756755,62.054054054054056,302.7108108108108,1302.9,74,27.7,84.4
2012,4,dadeldhura,316.71666666666664,60.66666666666666,298.1,72.5,6,29.3,80.6
2012,4,dailekh,324.075,58.0,308.675,42.5,4,28.8,81.7
2012,4,dang,321.7670886075949,62.87341772151899,305.61645569620254,2228.9,158,28.05,82.4
2012,4,darchula,324.2,75.0,305.6,10.5,1,29.9,80.6
2012,4,dhading,320.5785714285715,59.785714285714285,303.25,196.5,14,27.7,85.2
2012,4,dhankuta,317.90000000000003,73.33333333333333,297.56666666666666,83.2,3,27.0,87.3
2012,4,dhanusha,319.40000000000003,54.66666666666666,301.8,25.2,3,,
2012,4,dolakha,317.04999999999995,58.5,302.65,18.4,2,,
2012,4,doti,315.86,58.5,298.49,132.7,10,29.3,80.95
2012,4,gorkha,308.8,63.5,295.2,14.1,2,28.0,84.6
2012,4,gulmi,307.26000000000005,63.8,287.04,138.4,5,28.1,83.2
2012,4,ilam,322.96666666666664,59.333333333333336,302.8666666666667,34.5,3,26.9,88.0
2012,4,jajarkot,322.55,55.5,303.075,110.6,4,,
2012,4,jhapa,324.925,57.0,303.725,64.10000000000001,4,26.7,87.9
2012,4,kabhrepalanchok,321.4,61.75,303.925,64.30000000000001,4,,
2012,4,kailali,327.83690476190475,68.46428571428571,307.83809523809526,1657.3,84,28.7,80.8
2012,4,kanchanpur,327.075,65.58928571428571,305.59464285714284,1252.9,56,29.0,80.2
2012,4,kapilbastu,327.4241758241758,68.14285714285714,309.5912087912088,1825.9,91,,
2012,4,khotang,317.85,61.5,301.40000000000003,80.5,6,,
2012,4,mahottari,322.575,58.16666666666666,303.5083333333333,184.7,12,26.7,85.8
2012,4,makawanpur,316.68888888888887,58.94444444444444,299.6777777777777,224.3,18,,
2012,4,morang,320.525,48.0,302.4125,116.6,8,26.5,87.3
2012,4,myagdi,331.04999999999995,79.5,300.0,55.5,2,28.4,83.6
2012,4,nawalparasi,323.22083333333336,62.458333333333336,304.628125,1543.6,96,27.6,84.0
2012,4,nuwakot,318.90000000000003,68.5,297.8833333333333,123.1,6,27.85,85.25
2012,4,okhaldhunga,333.55,81.0,312.85,47.4,2,27.3,86.5
2012,4,palpa,313.88,45.7,299.15,80.8,10,27.9,83.5
2012,4,panchthar,321.82,76.2,300.38,101.4,5,,
2012,4,parsa,326.13466666666665,61.89333333333333,304.0973333333333,1237.3,75,,
2012,4,pyuthan,317.41052631578947,59.26315789473684,300.7894736842105,284.7,19,,
2012,4,rasuwa,302.8,51.0,290.5,7.9,1,28.1,85.3
2012,4,rautahat,317.475,68.75,301.65,37.6,4,,
2012,4,rukum,304.5,49.66666666666666,289.1666666666667,23.3,3,28.65,82.35
2012,4,rupandehi,320.6884615384615,61.88461538461539,304.8346153846154,308.7,26,27.57,83.47
2012,4,salyan,320.9222222222222,52.31111111111111,304.5711111111111,571.4,45,28.4,82.1
2012,4,saptari,321.5,62.0,305.1,12.9,1,26.6,86.8
2012,4,sarlahi,317.62857142857143,61.142857142857146,301.1428571428572,56.8,7,27.0,85.45
2012,4,sindhuli,315.21,55.93333333333333,298.42,310.8,30,27.2,85.9
2012,4,sindhupalchok,313.0,61.333333333333336,293.3,38.7,3,,
2012,4,siraha,353.725,92.5,316.325,220.4,4,,
2012,4,sunsari,324.85,53.0,307.25,37.3,2,26.75,87.3
2012,4,surkhet,321.3136363636364,57.39772727272727,304.0602272727273,1341.2,88,28.75,81.4
2012,4,tanahu,321.7315789473684,63.1578947368421,302.0263157894737,278.8,19,,
