YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,Fire_Count
2012,3,KAPILBASTU,321.25,62.0,306.6,20.1,2
2012,3,KHOTANG,317.09999999999997,66.33333333333333,299.43333333333334,36.9,3
2012,3,LALITPUR,313.4,50.0,292.7,6.0,1
2012,3,LAMJUNG,320.5,51.0,304.4,11.5,1
2012,3,MAHOTTARI,318.32666666666665,56.733333333333334,300.5,223.5,15
2012,3,MAKAWANPUR,314.83181818181816,56.95454545454545,298.5386363636364,515.8,44
2012,3,MANANG,302.8,19.0,285.9,6.9,1
2012,3,MORANG,319.8,56.333333333333336,304.73333333333335,41.0,3
2012,3,MUGU,310.6,60.0,294.0,11.1,1
2012,3,MUSTANG,309.35,28.5,289.05,22.599999999999998,2
2012,3,MYAGDI,315.1666666666667,68.33333333333333,293.05,152.8,6
2012,3,NAWALPARASI,322.62857142857143,57.42857142857143,301.64285714285717,211.1,7
2012,3,NUWAKOT,314.45000000000005,67.5,293.15,32.4,2
2012,3,PALPA,317.9,68.0,299.0,11.7,1
2012,3,PANCHTHAR,317.18,67.6,297.37,217.8,10
2012,3,PARSA,321.4988764044944,62.157303370786515,302.06516853932584,1774.7,89
2012,3,RAMECHHAP,312.95,61.5,297.65,22.2,2
2012,3,RASUWA,319.4,35.0,300.0,11.5,1
2012,3,RAUTAHAT,325.71666666666664,63.72222222222222,304.0055555555556,450.4,18
2012,3,ROLPA,322.26666666666665,65.66666666666667,299.3666666666666,66.0,3
2012,3,RUKUM,319.6625,61.5,300.3625,175.4,8
2012,3,SANKHUWASABHA,328.2,75.66666666666667,294.59999999999997,93.8,3
2012,3,SAPTARI,317.62857142857143,49.714285714285715,303.90000000000003,53.5,7
2012,3,SARLAHI,323.15384615384613,64.92307692307692,304.03076923076924,209.7,13
2012,3,SINDHULI,315.9923076923077,49.30769230769231,299.3076923076923,171.6,13
2012,3,SINDHUPALCHOK,314.1875,62.125,295.65,138.5,8
2012,3,SIRAHA,322.8333333333333,50.666666666666664,306.5333333333333,28.4,3
2012,3,SOLUKHUMBU,327.675,78.0,293.45,181.0,4
2012,3,SUNSARI,323.3071428571429,55.42857142857143,301.79285714285714,240.9,14
2012,3,SURKHET,323.76666666666665,71.33333333333333,305.40000000000003,43.3,3
2012,3,TANAHU,315.6666666666667,57.666666666666664,301.6666666666667,34.8,3
2012,3,TAPLEJUNG,320.6857142857143,65.07142857142857,298.88571428571424,260.1,14
2012,3,TERHATHUM,322.2923076923077,61.07692307692308,302.86923076923074,238.2,13
2012,3,UDAYAPUR,315.57241379310346,49.86206896551724,299.7655172413793,228.7,29
2012,4,ACHHAM,320.69,62.7,302.4,164.2,10
2012,4,ARGHAKHANCHI,317.0857142857143,61.74285714285714,302.0857142857143,384.8,35
